"account_id","customer_id","product_id","account_number","join_date","maturity_date","contract_months","deposit_amount","monthly_amount","current_balance","account_status","applied_rate","created_at"
1,1,3,"280-910044-00001",2018-01-21,2022-02-21,49,,414557,20313293,MATURED,2.32,2021-05-19
226,2,7,"280-910044-00226",2024-05-18,2026-01-18,20,,292312,5846240,MATURED,6.12,2025-05-18
225,2,7,"280-910044-00225",2024-05-18,2025-10-18,17,,262668,4465356,MATURED,8.72,2024-05-18
454,3,7,"280-910044-00454",2019-02-03,2019-07-03,5,,300000,1500000,MATURED,9.35,2021-05-19
453,3,7,"280-910044-00453",2019-10-25,2020-01-25,3,,276886,830658,MATURED,8.86,2025-05-18
482,4,3,"280-910044-00482",2024-05-18,2026-08-18,27,,883678,21208272,ACTIVE,3.27,2024-05-18
481,4,3,"280-910044-00481",2024-05-18,2025-07-18,14,,937165,13120310,MATURED,2.04,2024-05-18
480,4,3,"280-910044-00480",2024-05-18,2029-11-18,66,,505571,12133704,ACTIVE,3.12,2024-05-18
479,4,3,"280-910044-00479",2024-05-18,2026-03-18,22,,113730,2502060,MATURED,3.06,2025-05-18
501,5,4,"280-910044-00501",2018-11-15,2024-04-15,65,,709975,46148375,MATURED,2.86,2021-05-19
500,5,4,"280-910044-00500",2026-03-23,2026-11-23,8,,788614,788614,ACTIVE,3.24,2022-05-19
499,5,4,"280-910044-00499",2020-04-30,2021-11-30,19,,957125,18185375,MATURED,2.59,2018-05-20
523,6,3,"280-910044-00523",2018-12-22,2020-10-22,22,,405684,8925048,MATURED,3.29,2024-05-18
522,6,3,"280-910044-00522",2023-10-06,2027-07-06,45,,578628,17937468,ACTIVE,2.89,2014-05-21
541,7,6,"280-910044-00541",2017-02-21,2019-01-21,23,,500000,11500000,MATURED,4.06,2013-05-21
540,7,6,"280-910044-00540",2020-09-08,2022-11-08,26,,500000,13000000,MATURED,2.61,2013-05-21
559,8,1,"280-910044-00559",2019-07-24,2021-09-24,26,45865491,,45865491,MATURED,1.82,2014-05-21
558,8,1,"280-910044-00558",2023-08-27,2024-12-27,16,10221577,,10221577,MATURED,2.20,2011-05-22
