"customer_id","customer_name","birth_date","customer_job","created_at","annual_income","income_level","main_bank_yn","salary_transfer_yn","auto_transfer_yn","card_usage_yn","marketing_agree_yn","transaction_months","available_monthly_saving","updated_at"
1,고객_001,2003-11-17,자영업,2017-05-20,3000,중간,true,true,true,false,false,35,300000,2026-03-15
2,고객_002,2001-03-04,공무원,2024-05-18,3600,중간,false,true,true,true,false,199,300000,2026-03-20
3,고객_003,1998-11-18,프리랜서,2017-05-20,8000,높음,true,true,true,true,true,152,1000000,2026-03-17
4,고객_004,1977-06-16,전문직,2024-05-18,7000,높음,true,true,true,true,true,179,700000,2026-02-20
5,고객_005,1989-09-04,회사원,2018-05-20,1800,낮음,true,true,true,false,false,12,100000,2026-02-16
6,고객_006,1995-05-11,자영업,2014-05-21,2200,낮음,false,false,false,false,false,5,400000,2026-03-26
7,고객_007,1976-11-23,주부,2013-05-21,2200,낮음,false,false,false,false,true,8,400000,2026-05-15
8,고객_008,1989-01-26,프리랜서,2011-05-22,7000,높음,false,false,false,true,false,44,3000000,2026-04-04
9,고객_009,1985-05-16,회사원,2003-05-24,8000,높음,true,true,false,false,true,176,700000,2026-04-01
10,고객_010,1989-05-11,전문직,2024-05-18,4000,중간,true,true,true,true,true,125,700000,2026-05-10
11,고객_011,1980-08-15,공무원,2011-05-22,1800,낮음,false,false,false,false,false,9,200000,2026-03-05
12,고객_012,1986-08-27,자영업,2013-05-21,3600,중간,true,false,true,false,false,210,1000000,2026-04-10
13,고객_013,1995-05-13,자영업,2003-05-24,8000,높음,false,false,true,true,false,95,3000000,2026-02-20
14,고객_014,1996-07-28,프리랜서,2022-05-19,3600,중간,true,true,false,false,true,33,1500000,2026-03-26
15,고객_015,1993-07-20,전문직,2014-05-21,4200,중간,false,false,true,true,false,58,1000000,2026-03-21
16,고객_016,1991-10-18,주부,2008-05-22,3000,중간,false,false,false,true,false,80,300000,2026-03-02
17,고객_017,1997-06-17,자영업,2019-05-20,4200,중간,false,false,false,true,true,14,1000000,2026-03-12
18,고객_018,1993-05-05,공무원,2011-05-22,3000,중간,true,false,true,true,false,76,1500000,2026-05-13
19,고객_019,1985-10-07,공무원,2021-05-19,3600,중간,false,false,true,false,true,24,300000,2026-03-11
20,고객_020,1992-07-15,회사원,2001-05-24,3600,중간,true,true,false,false,false,44,700000,2026-03-01
21,고객_021,1984-01-01,자영업,2008-05-22,5000,중간,true,true,true,true,true,152,2000000,2026-04-03
22,고객_022,1990-11-04,전문직,2006-05-23,2900,낮음,false,false,true,false,false,4,200000,2026-04-27
23,고객_023,1993-03-19,주부,2005-05-23,3000,중간,true,true,true,false,false,8,1500000,2026-03-21
24,고객_024,2005-10-02,공무원,2018-05-20,5500,중간,false,true,true,true,true,41,500000,2026-03-20
25,고객_025,2000-11-25,프리랜서,2025-05-18,3600,중간,true,true,true,true,true,78,500000,2026-02-22
26,고객_026,1992-02-16,공무원,2018-05-20,9000,높음,true,true,true,false,true,80,2000000,2026-03-12
27,고객_027,1984-11-21,공무원,2023-05-19,3000,중간,false,false,true,true,false,23,1500000,2026-03-29
28,고객_028,1986-09-20,자영업,2008-05-22,3600,중간,false,false,false,true,true,6,300000,2026-03-23
29,고객_029,1980-03-24,주부,2017-05-20,8000,높음,true,true,false,false,true,88,2000000,2026-03-04
30,고객_030,1992-08-20,프리랜서,2025-05-18,2200,낮음,false,false,false,true,true,1,300000,2026-04-15
31,고객_031,1997-03-14,공무원,2021-05-19,4000,중간,true,true,true,true,true,38,1000000,2026-05-05
32,고객_032,1983-12-02,전문직,2001-05-24,2600,낮음,false,true,false,false,false,7,300000,2026-02-21
33,고객_033,2000-12-04,회사원,2021-05-19,2600,낮음,false,false,false,false,false,2,200000,2026-03-27
34,고객_034,1967-07-18,주부,2010-05-22,5000,중간,true,false,false,false,false,110,500000,2026-04-18
35,고객_035,1984-03-26,공무원,2010-05-22,2500,낮음,false,false,true,false,false,112,300000,2026-04-04
36,고객_036,1975-03-14,자영업,2012-05-21,8000,높음,true,true,true,true,true,19,1500000,2026-05-13
37,고객_037,2002-07-16,자영업,2020-05-19,3600,중간,false,false,false,true,true,24,1000000,2026-02-24
38,고객_038,1978-04-25,전문직,2022-05-19,2200,낮음,true,true,true,false,true,2,100000,2026-02-16
39,고객_039,1992-04-23,주부,2009-05-22,7000,높음,true,true,true,true,true,129,700000,2026-03-30
40,고객_040,1991-03-30,회사원,2016-05-20,3000,중간,true,false,false,true,true,61,500000,2026-02-16
41,고객_041,2004-02-22,프리랜서,2017-05-20,2600,낮음,false,false,true,true,true,3,400000,2026-04-29
42,고객_042,1997-11-11,공무원,2022-05-19,3600,중간,true,true,true,true,true,62,1000000,2026-02-20
43,고객_043,1999-04-28,공무원,2022-05-19,2200,낮음,true,false,false,false,false,2,100000,2026-02-20
44,고객_044,1967-03-28,주부,2016-05-20,3600,중간,false,false,true,false,false,85,500000,2026-03-19
45,고객_045,1987-01-26,자영업,2013-05-21,3600,중간,false,false,true,true,true,9,1000000,2026-03-16
46,고객_046,2009-04-23,학생,2025-05-18,5000,중간,true,true,false,true,true,75,1500000,2026-04-23
47,고객_047,2000-04-23,전문직,2019-05-20,3000,중간,true,false,false,false,true,56,1000000,2026-03-12
48,고객_048,1990-07-03,주부,2013-05-21,4200,중간,false,true,false,true,true,24,300000,2026-04-27
49,고객_049,1989-05-23,회사원,2023-05-19,5000,중간,true,true,true,true,true,174,2000000,2026-03-01
50,고객_050,1992-01-22,프리랜서,2007-05-23,4200,중간,true,true,true,true,false,18,700000,2026-02-22
51,고객_051,1976-01-31,전문직,2004-05-23,3000,중간,false,false,false,false,false,153,100000,2026-03-09
52,고객_052,1978-09-29,프리랜서,2025-05-18,10000,높음,false,true,false,false,true,46,4000000,2026-03-14
53,고객_053,1992-02-10,프리랜서,2023-05-19,3600,중간,false,true,false,true,true,224,700000,2026-02-28
54,고객_054,1993-07-13,공무원,2025-05-18,3600,중간,true,false,false,false,false,73,700000,2026-04-09
55,고객_055,1986-05-27,공무원,2021-05-19,6000,높음,true,true,true,true,true,88,2000000,2026-03-27
56,고객_056,2004-04-18,회사원,2022-05-19,3600,중간,true,false,false,false,true,170,500000,2026-04-20
57,고객_057,1966-11-24,회사원,2014-05-21,2600,낮음,true,false,false,false,true,6,300000,2026-05-12
58,고객_058,1985-06-17,주부,2021-05-19,4800,중간,true,false,true,false,true,61,700000,2026-05-09
59,고객_059,1990-02-23,주부,2009-05-22,1800,낮음,false,false,false,false,false,4,300000,2026-04-20
60,고객_060,2001-09-01,회사원,2018-05-20,3600,중간,true,false,true,true,false,51,700000,2026-02-16
61,고객_061,1987-10-19,프리랜서,2020-05-19,4200,중간,true,true,true,false,false,73,1000000,2026-04-10
62,고객_062,1983-09-21,전문직,2024-05-18,4800,중간,true,true,true,true,false,45,1000000,2026-05-06
63,고객_063,2008-07-06,학생,2023-05-19,9000,높음,true,false,false,true,false,74,1500000,2026-04-07
64,고객_064,1988-09-04,공무원,2022-05-19,4200,중간,true,true,true,false,false,40,500000,2026-04-22
65,고객_065,1985-11-01,주부,2020-05-19,4800,중간,false,false,false,false,false,64,500000,2026-03-27
66,고객_066,1985-08-01,전문직,2022-05-19,5000,중간,true,true,true,true,true,64,1000000,2026-04-25
67,고객_067,1987-09-01,주부,2013-05-21,1800,낮음,false,false,false,false,false,6,100000,2026-03-17
68,고객_068,1958-11-25,무직,2014-05-21,7000,높음,true,true,true,true,false,73,1500000,2026-04-18
69,고객_069,2001-09-16,자영업,2016-05-20,2600,낮음,false,false,false,true,false,2,200000,2026-04-09
70,고객_070,2003-08-30,자영업,2019-05-20,4200,중간,true,false,true,false,false,169,500000,2026-02-19
71,고객_071,1999-04-15,자영업,2024-05-18,12000,높음,false,false,false,true,true,98,2000000,2026-03-06
72,고객_072,1980-10-10,주부,2012-05-21,3000,중간,false,true,false,true,true,83,700000,2026-04-01
73,고객_073,1997-05-24,전문직,2023-05-19,2600,낮음,false,false,false,true,false,7,300000,2026-04-14
74,고객_074,1975-04-12,자영업,2012-05-21,8000,높음,true,true,true,true,false,58,2000000,2026-05-06
75,고객_075,2007-01-16,학생,2024-05-18,5000,중간,true,true,true,true,false,172,1000000,2026-04-03
76,고객_076,2002-09-15,프리랜서,2017-05-20,5000,중간,true,false,true,true,true,94,1500000,2026-02-25
77,고객_077,1978-05-24,전문직,2019-05-20,9000,높음,false,false,false,true,true,33,3000000,2026-05-13
78,고객_078,1991-05-12,회사원,2006-05-23,1800,낮음,false,false,false,false,false,10,200000,2026-04-09
79,고객_079,1980-03-23,프리랜서,2024-05-18,3000,중간,true,true,false,true,true,32,1500000,2026-05-11
80,고객_080,1976-11-28,회사원,2018-05-20,2600,낮음,false,false,false,false,false,5,200000,2026-04-01
81,고객_081,1989-02-27,회사원,2002-05-24,7000,높음,true,false,true,true,true,32,3000000,2026-05-06
82,고객_082,1989-02-16,회사원,2017-05-20,5000,중간,true,true,true,true,true,146,2000000,2026-04-25
83,고객_083,1995-10-30,프리랜서,2014-05-21,4800,중간,true,true,true,true,true,67,1500000,2026-03-05
84,고객_084,1992-04-03,자영업,2020-05-19,2600,낮음,true,true,false,false,false,10,200000,2026-04-12
85,고객_085,2008-04-14,학생,2023-05-19,4800,중간,false,false,true,true,true,49,1000000,2026-03-29
